what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410217239400
java.specification.version,sysinfo,,,"1.6",1410217239400
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1410217239400
java.version,sysinfo,,,"1.6.0_32",1410217239400
java.vm.info,sysinfo,,,"mixed mode",1410217239400
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1410217239400
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410217239400
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410217239400
java.vm.specification.version,sysinfo,,,"1.0",1410217239400
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1410217239400
java.vm.version,sysinfo,,,"23.25-b01",1410217239400
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1410217239436
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1410217239454
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1410217239610
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1410217239875
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1410217239950
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1410217240048
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1410217240299
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1410217240436
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1410217240588
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1410217241455
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1410217241455
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1410217241558
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1410217241562
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1410217241591
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1410217241604
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1410217241614
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1410217241616
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1410217241696
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1410217241697
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1410217252366
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1410217252447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410217296769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218403643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218480509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218480857
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410218482311
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410218482488
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1410218482511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218490237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218521353
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410218522759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218526534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410218529880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410220161864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410220166852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410220168364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410220168668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410220169736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410221489603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410221491852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410221493986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410221499349
