what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1410651558530
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1410651558555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651558968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651559519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651560074
opened,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1410651564169
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1410651564218
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410651565385
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1410651565609
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1410651565641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410651565663
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1410651566123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651598310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651598613
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1410651599253
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1410651599254
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1410651599346
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1410651599350
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1410651599405
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1410651599415
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1410651599516
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1410651599519
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1410651599541
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1410651599547
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1410651599549
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1410651599550
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1410651599575
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1410651599577
started,bundle,com.android.ide.eclipse.ndk,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ndk",1410651599606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651600402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651601340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651602686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651609567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651610850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651648467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410651651869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1410651651968
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1410651654832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651669845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651995230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410651995708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410652039428
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1410652042498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410652049281
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1410652050821
