what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414628994880
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414628994880
java.vm.specification.version,sysinfo,,,"1.0",1414628994880
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1414628994880
java.vm.version,sysinfo,,,"23.25-b01",1414628994880
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1414628994899
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1414628994908
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1414628995061
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1414628995094
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1414628995210
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1414628995485
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1414628995791
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1414628995835
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1414628995965
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1414628996109
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1414628996119
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1414628997803
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1414628998072
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1414628998075
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1414628998085
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1414628998087
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1414628998089
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1414628998092
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1414628998099
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1414628998100
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1414629008123
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1414629008129
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1414629008294
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1414629008316
activated,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1414629012349
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1414629014094
closed,editor,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.editors.CommonXmlEditor",1414629014095
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414629020759
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1414629020943
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1414629020994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414629021029
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1414629021083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414629021564
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1414629022028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629037932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629088513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629088972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629089951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629090488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629090670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629090930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629091086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629091195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629091327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629091474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629091617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629091747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414629092114
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1414629106303
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414629106652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414629106916
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1414629106971
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414629107420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1414629109382
