what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to load properties file for project 'TestProj2Lingbo'",1415393798230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1415393798296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1415393798296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415393798303
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1415393799363
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1415393799382
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1415393799443
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1415393799516
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415393799795
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1415393799885
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1415393799889
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1415393799889
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1415393799890
started,bundle,org.python.pydev.core,2.6.0.2012062818,"org.python.pydev.core",1415393799898
started,bundle,org.python.pydev.debug,2.6.0.2012062818,"org.python.pydev.debug",1415393799900
started,bundle,com.python.pydev.analysis,2.6.0.2012062818,"com.python.pydev.analysis",1415393799923
started,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1415393799937
error,log,,,"Failed to load properties file for project 'MainActivity'",1415393801618
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1415393801619
error,log,,,"Failed to load properties file for project 'MainActivity'",1415393801621
